성분명,성분코드,제품코드,제품명,업체명,공고번호,공고일자,약품상세정보
aceclofenac,100901ATB,643202500,동성아세클로페낙정_(0.1g/1정),동성제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,694001000,대웅바이오아세클로페낙정100밀리그램_(0.1g/1정),대웅바이오(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,643100050,뉴마탈정(아세클로페낙)_(0.1g/1정),(주)바이넥스,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,647803710,크리페낙정(아세클로페낙)_(0.1g/1정),삼진제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,696600070,일양바이오아세클로페낙정_(0.1g/1정),일양바이오팜(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,662501270,아스낙정(아세클로페낙)_(0.1g/1정),(주)넥스팜코리아,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,640900550,아세클란정(아세클로페낙)_(0.1g/1정),(주)일화,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,697100050,아세민정(아세클로페낙)_(0.1g/1정),(주)한국피엠지제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,671700970,카나펜정(아세클로페낙)_(0.1g/1정),주식회사제뉴원사이언스,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,658203010,아이제낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)비보존제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,647300800,아세클낙정(아세클로페낙)_(0.1g/1정),에이치엘비제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,642502460,아크로펜정(아세클로페낙)_(0.1g/1정),동아에스티(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,661604710,뉴클로페낙정(아세클로페낙)_(0.1g/1정),(주)알피바이오,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,678600670,세크로낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)다산제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,652604210,에어펜정(아세클로페낙)_(0.1g/1정),알보젠코리아(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,60500010,메가클로페낙정(아세클로페낙)_(0.1g/1정),(주)엘앤씨바이오,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,698000880,애니락정(아세클로페낙)_(0.1g/1정),(주)제뉴파마,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,53300200,아세크릴정(아세클로페낙)_(0.1g/1정),(주)중헌제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,53500180,오스템아세클로페낙정_(0.1g/1정),오스템파마주식회사,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,663803260,천우클로페낙100밀리그램(아세클로페낙)_(0.1g/1정),천우신약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,58200350,세로탈정100밀리그램(아세클로페낙)_(0.1g/1정),(주)아리제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,642403620,엔페낙정(아세클로페낙)_(0.1g/1정),영진약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,651201220,아세클정(아세클로페낙)_(0.1g/1정),삼천당제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,658106680,아세네정(아세클로페낙)_(0.1g/1정),(유)한풍제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,57700060,독립아세클로페낙정_(0.1g/1정),독립바이오제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,52400690,로페낙정(아세클로페낙)_(0.1g/1정),(주)인트로바이오파마,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,689000470,아세테크정(아세클로페낙)_(0.1g/1정),(주)시어스제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,670501610,아세로탈정100밀리그램(아세클로페낙)_(0.1g/1정),(주)보령바이오파마,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,625500270,셀페낙정(아세클로페낙)_(0.1g/1정),(주)텔콘알에프제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,679601120,아세바정100밀리그램(아세클로페낙)_(0.1g/1정),(주)서흥,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,644802230,태극아세클로페낙정_(0.1g/1정),태극제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,670101330,아스로펜정(아세클로페낙)_(0.1g/1정),(주)팜젠사이언스,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,657202270,아펜탁정(아세클로페낙)_(0.1g/1정),환인제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,655601230,아세로정(아세클로페낙)_(0.1g/1정),한올바이오파마(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,623005340,신텍클로페낙정100밀리그램(아세클로페낙)_(0.1g/1정),한국신텍스제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,57600580,아세진정(아세클로페낙)_(0.1g/1정),주식회사다나젠,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,57000810,아세클론정(아세클로페낙)_(0.1g/1정),주식회사 더유제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649502440,유니세탈정(아세클로페낙)_(0.1g/1정),유니메드제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,660701380,위더스페낙정(아세클로페낙)_(0.1g/1정),위더스제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,644603430,아크로낙정(아세클로페낙)_(0.1g/1정),조아제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,645202010,아세낙정(아세클로페낙)_(0.1g/1정),에이프로젠제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,670400900,휴니즈아세클로페낙정_(0.1g/1정),(주)휴온스메디텍,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,694205390,아세코낙정100밀리그램(아세클로페낙)_(0.1g/1정),정우신약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,655403790,에어클로정(아세클로페낙)_(0.1g/1정),일성신약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,653702340,아리펜정(아세클로페낙)_(0.1g/1정),삼남제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,55102270,코스페낙정100밀리그램(아세클로페낙)_(0.1g/1정),코스맥스파마(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,59600280,아세요정(아세클로페낙)_(0.1g/1정),(주)킴스제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,643903550,아세펜정(아세클로페낙)_(0.1g/1정),삼일제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,59000440,아세티정(아세클로페낙)_(0.1g/1정),주식회사케이에스제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649701520,지엘아세클로페낙정100밀리그램_(0.1g/1정),지엘파마(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,625200230,아세로낙정(아세클로페낙)_(0.1g/1정),(주)화이트생명과학,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,663300870,에스노펜정(아세클로페낙)_(0.1g/1정),에스에스팜(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,53600020,뉴세페낙정100밀리그램(아세클로페낙)_(0.1g/1정),안국뉴팜(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,663601080,아가펜정(아세클로페낙)_(0.1g/1정),한국프라임제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,644000990,세클펜정(아세클로페낙)(수출명:CECLOFEN Tab.)_(0.1g/1정),삼익제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,643301260,세클로낙정(아세클로페낙)_(0.1g/1정),(주)종근당,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,648601250,아포낙정(아세클로페낙)_(0.1g/1정),(주)씨엠지제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649404530,알로페낙정(아세클로페낙)_(0.1g/1정),영일제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,656000830,아페낙정(아세클로페낙)_(0.1g/1정),알리코제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,698500220,아클펜정(아세클로페낙)_(0.1g/1정),(주)테라젠이텍스,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,648502580,아클론정(아세클로페낙)_(0.1g/1정),신풍제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,658600670,아크로정(아세클로페낙)_(0.1g/1정),이연제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,644703320,아크로신정(아세클로페낙)_(0.1g/1정),에스케이케미칼(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,650300920,아엔탈정(아세클로페낙)_(0.1g/1정),진양제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,693200160,아스로정(아세클로페낙)_(0.1g/1정),(주)한국글로벌제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,643501740,아섹정(아세클로페낙)_(0.1g/1정),한미약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,650201020,아세페낙정(아세클로페낙)_(0.1g/1정),안국약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,669902550,아세파인정(아세클로페낙)_(0.1g/1정),대한뉴팜(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,645604400,아세틸론정(아세클로페낙)_(0.1g/1정),대화제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,628900120,아펜정(아세클로페낙)_(0.1g/1정),(주)이든파마,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,625800250,아펙정(아세클로페낙)_(0.1g/1정),메딕스제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,661304620,아세티탄정(아세클로페낙)_(0.1g/1정),경방신약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,654301800,아세탑정(아세클로페낙)_(0.1g/1정),오스틴제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,653401660,아세탈정(아세클로페낙)_(0.1g/1정),동국제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,669500370,아세크정(아세클로페낙)_(0.1g/1정),(주)씨티씨바이오,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,642702240,아세크론정(아세클로페낙)_(0.1g/1정),동화약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,651501060,아세크로정(아세클로페낙)_(0.1g/1정),(주)하원제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,642302610,아세크로나정(아세클로페낙)_(0.1g/1정),삼성제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,674400630,아세큐어정(아세클로페낙)_(0.1g/1정),아이큐어(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,669604450,아세쿨정(아세클로페낙)_(0.1g/1정),(주)아이월드제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,654001260,아펜탈정(아세클로페낙)_(0.1g/1정),아주약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,621801920,아페민정(아세클로페낙)_(0.1g/1정),(주)한국파비스제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,665502000,에이텍정(아세클로페낙)_(0.1g/1정),한국유니온제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649001080,아세롬정100밀리그램(아세클로페낙)_(0.1g/1정),풍림무약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,622800200,아페락정(아세클로페낙)_(0.1g/1정),(주)마더스제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,684500990,에클로펜정(아세클로페낙)_(0.1g/1정),화일약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,693900040,셀트리온아세클로페낙정_(0.1g/1정),(주)셀트리온제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,643701580,아로펜정(아세클로페낙)(수출명:아로페나정)_(0.1g/1정),국제약품(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649802300,아로탈정(아세클로페낙)(수출명:아로세탈정(Arocetaltablet))_(0.1g/1정),명문제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,648101500,"에이서정(아세클로페낙)(수출명: SEONAC, BEEOCURACIN)_(0.1g/1정)",경동제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,665001860,엔클로페낙정(아세클로페낙)_(0.1g/1정),(주)경보제약,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,649601680,에이펜정(아세클로페낙)_(0.1g/1정),대우제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,653802100,에이낙정(아세클로페낙)_(0.1g/1정),신일제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,654700420,아세클라정(아세클로페낙)_(0.1g/1정),케이엠에스제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
